 aspect_ratio | width | height | iso_639_1 |            file_path             | vote_average | vote_count | movie_id | image_type 
        1.778 |  3840 |   2160 |           | /yKOUc2hf37NQnpZvbFSIPu6s4NY.jpg |        5.252 |          4 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /3qDgN2hKLwFhoG3ggzG0IztDzya.jpg |        5.246 |          2 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /aSpRZfrnDezoD1bKKc7PC29g9DI.jpg |         5.19 |          5 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /n3s8xWAfalttyjifJE9h5DGnPVh.jpg |         5.18 |          3 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /wv2I4PVI8kbP7fAXY4c8uXGSGGm.jpg |         5.18 |          3 |   515001 | backdrop
        1.778 |  2844 |   1600 |           | /5P4K45nNkG7fwTP3hmvaEAK6CmL.jpg |        5.172 |          1 |   515001 | backdrop
        1.778 |  2834 |   1594 |           | /jyeSrMh6E2L9q5DFNK0EwlQIDph.jpg |        5.138 |          8 |   515001 | backdrop
        1.778 |  3840 |   2160 | en        | /bNjnVII2b6gOv45aVgwprlQVtO0.jpg |        5.106 |          2 |   515001 | backdrop
        1.778 |  3840 |   2160 | en        | /kNU1yzahiEHTOpZjrutZOwO7lMv.jpg |        5.106 |          2 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /q0uGR0vMQOMXNGdEUQEyi5DVWmh.jpg |            0 |          0 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /zJaR815m8Zge6ZpiapvmZfdM3AU.jpg |            0 |          0 |   515001 | backdrop
        1.778 |  3840 |   2160 |           | /ov7P3oXKY120Ei76NHqTqCDaqKh.jpg |            0 |          0 |   515001 | backdrop
        1.778 |  2844 |   1600 |           | /7bAgI1cEczwHVngjUhaBiVuIDDp.jpg |            0 |          0 |   515001 | backdrop
        1.778 |  1920 |   1080 |           | /bYeqAg2OkjXPaGQP9hWPE4HuXDn.jpg |            0 |          0 |   515001 | backdrop
        1.778 |  1920 |   1080 |           | /m8Fb1u54WC6y1dcIXhmta7Oed0O.jpg |            0 |          0 |   515001 | backdrop
        1.778 |  3840 |   2160 | hu        | /8SYjnyQkVLrl8uztxLXkoSCP9Z.jpg  |            0 |          0 |   515001 | backdrop
        0.667 |  2000 |   3000 | en        | /7GsM4mtM0worCtIVeiQt28HieeN.jpg |        5.576 |         13 |   515001 | poster
        0.667 |   844 |   1266 | en        | /mai8O9QdpNpvALef9GKxBlDK3hx.jpg |        5.458 |         13 |   515001 | poster
        0.667 |  2000 |   3000 | en        | /dTBVqQB0My65h6pjGvI1STpFDG2.jpg |        5.388 |          4 |   515001 | poster
        0.667 |  2000 |   3000 | en        | /jEQSP6G2gs20RehOIY3MFzFFfA0.jpg |        5.384 |          2 |   515001 | poster
        0.667 |  2000 |   3000 | it        | /2vv0tEFH10YG3hMRCOhiWsw7bOk.jpg |        5.384 |          2 |   515001 | poster
        0.667 |  2000 |   3000 | pt        | /vC7gB8h8KFTsraAoKsj0haHAljR.jpg |        5.384 |          2 |   515001 | poster
        0.667 |  2000 |   3000 | en        | /o8rv1B1Ec2BNtiMeoMYI7NTSflp.jpg |        5.384 |          2 |   515001 | poster
        0.667 |  2000 |   3000 | de        | /tfds9VytrR47blP6XicUXLrpwUI.jpg |        5.384 |          2 |   515001 | poster
        0.667 |   550 |    825 | uk        | /cFz93CGSbsrYueTS57hR70p6B3P.jpg |        5.384 |          2 |   515001 | poster
        0.666 |  1333 |   2000 | en        | /QVARzbQBXqYRMMJK4Kujnkk7nd.jpg  |        5.322 |          5 |   515001 | poster
        0.667 |  2000 |   3000 | en        | /1mqL7VG4Ix8wmxwypmCA1HTHBky.jpg |        5.322 |          5 |   515001 | poster
        0.667 |  1000 |   1500 | he        | /smyGRYi60WOP25J22rWOfbNcORP.jpg |        5.312 |          1 |   515001 | poster
          0.7 |  1433 |   2048 | el        | /g4xeqmgKn8PsvZahKXDmSKfh3a2.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  2000 |   3000 | en        | /xhJF9gStbEsvGiCIxwPu8B1NqjZ.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  2000 |   3000 | pt        | /zFJZKMcjBaVLNPZJQUAFNoTL48d.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  1000 |   1500 | pl        | /r0Gmvc9YsHll8zW3dm7aRbv5Awf.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  1000 |   1500 | en        | /vgcuKZbDldVzchrsT0r0hKjmsUu.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  1000 |   1500 | en        | /rsvsJ5ogVp6PqAhkPDufmOAsWWr.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  2000 |   3000 | th        | /rQyl04VsSjI9TkgfwWlM45auovp.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  2000 |   3000 |           | /cnK3S46akX5fUXtl9erDDouKfrQ.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  2000 |   3000 | tr        | /3pDjOqD4yzbJ131IxBnVok0ArZR.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  2000 |   3000 | hu        | /gHa8483wJeKOs5HdA6Bcb8mhsH1.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  1000 |   1500 | en        | /sObUeCQYVp3sosaCciQA148vuUJ.jpg |        5.312 |          1 |   515001 | poster
        0.667 |  2000 |   3000 | en        | /yfT4bdrKKUZAjWD9Zii45nEN668.jpg |        5.252 |          4 |   515001 | poster
        0.667 |  2000 |   3000 | fr        | /1uiuoWE0XUqCZpwWKMQwoFpqjkp.jpg |        5.252 |          4 |   515001 | poster
        0.676 |  1968 |   2913 | zh        | /6iwVNGB40ICgWt2ASOJ0kdT3hfA.jpg |        5.252 |          4 |   515001 | poster
        0.705 |  2000 |   2838 | de        | /mqE5oPqmT1WU1WxuOloDUIsEKto.jpg |        5.252 |          4 |   515001 | poster
        0.701 |   800 |   1142 | zh        | /cFi76cisXZTi8XnsgmpAg2QOCDP.jpg |        5.246 |          2 |   515001 | poster
